"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-05","101",",,S","76",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-06",,,"77",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-07","97",",,S","78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-08","100",",,S","78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-09","102",",,S","76",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-10","103",",,S","72",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-11","102",",,S","75",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-12","99",",,S","75",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-13",,,"76",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-14","102",",,S","76",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-15","103",",,S","76",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-16","103",",,S","77",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-17","96",",,S","78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-18","99",",,S","79",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-19","104",",,S","78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-20","107",",,S","78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-21","106",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-22","100",",,S","78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-23","103",",,S","80",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-24","106",",,S","78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-25","102",",,S","78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-26","103",",,S","78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-27","104",",,S","77",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-28","103",",,S","78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-29","102",",,S","78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-30","103",",,S","80",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-31","107",",,S","78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-01","105",",,S","81",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-02","101",",,S","79",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-03",,,"80",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-04","100",",,S","81",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-05","103",",,S","80",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-06","96",",,S","80",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-07","98",",,S","81",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-08","99",",,S","82",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-09","101",",,S","80",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-10","101",",,S","80",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-11","101",",,S","81",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-12","101",",,S","80",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-13","99",",,S","81",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-14","100",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-15","103",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-16","101",",,S","80",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-17","101",",,S","80",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-18","103",",,S","80",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-19","103",",,S","81",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-20","103",",,S","81",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-21","100",",,S","83",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-22","95",",,S","81",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-23","97",",,S","81",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-24","97",",,S","83",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-25","90",",,S","83",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-26","87",",,S","79",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-27","92",",,S","79",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-28","90",",,S","81",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-29","94",",,S","82",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-06-30","93",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-01","87",",,S","79",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-02","89",",,S","80",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-03","87",",,S","81",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-04","91",",,S","80",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-05","94",",,S","80",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-06","94",",,S","81",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-07","95",",,S","82",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-08","96",",,S","80",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-09","95",",,S","80",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-10","95",",,S","80",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-11",,,"81",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-12","89",",,S","81",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-13",,,"78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-14",,,,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-15","93",",,S","79",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-16","89",",,S","79",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-17","94",",,S","79",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-18","96",",,S","79",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-19","95",",,S","80",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-20","93",",,S","80",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-21","92",",,S","80",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-22",,,"80",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-23","94",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-24","95",",,S","80",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-25","92",",,S","81",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-26","94",",,S","81",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-27","94",",,S","79",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-28",,,,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-29","85",",,S","76",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-30","90",",,S","78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-07-31","92",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-01","87",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-02","84",",,S","76",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-03","87",",,S","77",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-04","83",",,S","78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-05","86",",,S","77",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-06","86",",,S","77",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-07","87",",,S","77",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-08","88",",,S","78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-09",,,"78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-10","88",",,S","78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-11","88",",,S","78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-12","89",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-13","90",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-14",,,"78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-15","88",",,S","78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-16","90",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-17","90",",,S","78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-18","90",",,S","78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-19","89",",,S","76",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-20","90",",,S","76",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-21","92",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-22","91",",,S","78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-23",,,"78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-24","91",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-25","91",",,S","78",",,S"
